"","year","length"
"51203",1977,102
"51204",1985,86
"51205",1965,88
"51206",1948,74
"51207",1954,88
"51208",1968,97
"51209",2003,70
"51210",1968,96
"51211",1962,85
"51212",1999,97
"51213",1988,115
"51214",2000,98
"51215",1994,98
"51216",1956,110
"51217",2002,19
"51218",1963,149
"51219",1971,175
"51220",2003,132
"51221",1984,94
"51222",1951,102
"51223",1961,90
"51224",1987,98
"51225",1994,88
"51226",1917,56
"51227",1962,130
"51228",2003,23
"51229",1992,93
"51230",1985,93
"51231",1990,107
"51232",1986,98
"51233",2002,120
"51234",1987,105
"51235",1973,88
"51236",1998,94
"51237",1974,107
"51238",1995,94
"51239",1993,54
"51240",1994,97
"51241",2004,128
"51242",2000,92
"51243",1991,154
"51244",2003,109
"51245",1993,105
"51246",1984,108
"51247",1989,108
"51248",1961,33
"51249",1987,81
"51250",1998,99
"51251",1952,6
"51252",1983,132
"51253",2000,11
"51254",2000,80
"51255",2003,7
"51256",1996,110
"51257",1998,85
"51258",1999,100
"51259",1967,106
"51260",2002,120
"51261",1987,84
"51262",1948,160
"51263",1960,103
"51264",2003,81
"51265",1963,90
"51266",1980,124
"51267",2004,67
"51268",1960,90
"51269",1901,1
"51270",1951,10
"51271",1929,6
"51272",2000,84
"51273",1952,7
"51274",1962,85
"51275",1996,95
"51276",1997,90
"51277",1981,100
"51278",1977,102
"51279",1933,69
"51280",1999,98
"51281",1972,78
"51282",1959,89
"51283",1987,84
"51284",1987,92
"51285",2000,96
"51286",1946,57
"51287",1980,97
"51288",1989,90
"51289",1986,87
"51290",1946,60
"51291",1958,66
"51292",1990,93
"51293",1958,81
"51294",1984,84
"51295",1992,12
"51296",1968,84
"51297",1985,87
"51298",1973,93
"51299",1938,62
"51300",1962,72
"51301",1961,80
"51302",1986,90
"51303",1983,90
"51304",1980,90
"51305",1942,8
"51306",1985,90
"51307",1974,90
"51308",1938,70
"51309",1963,81
"51310",1986,83
"51311",2001,103
"51312",1959,86
"51313",1961,81
"51314",1965,88
"51315",1988,88
"51316",1995,108
"51317",1999,95
"51318",1992,90
"51319",2004,72
"51320",1967,75
"51321",2002,5
"51322",1987,95
"51323",1997,85
"51324",1966,98
"51325",1961,92
"51326",1996,118
"51327",1982,92
"51328",1987,87
"51329",1988,95
"51330",1991,90
"51331",1983,91
"51332",1983,97
"51333",1965,111
"51334",1979,172
"51335",1922,137
"51336",1960,95
"51337",2003,96
"51338",2000,7
"51339",1938,118
"51340",1951,7
"51341",1994,74
"51342",1979,104
"51343",1969,90
"51344",1971,94
"51345",1975,80
"51346",1983,90
"51347",1933,122
"51348",1962,88
"51349",1959,95
"51350",1933,95
"51351",2001,7
"51352",1997,117
"51353",2000,67
"51354",2000,95
"51355",1996,90
"51356",1998,101
"51357",1946,98
"51358",1988,157
"51359",2000,93
"51360",1904,4
"51361",1998,100
"51362",2003,105
"51363",1994,90
"51364",1988,69
"51365",1992,83
"51366",1956,91
"51367",1956,106
"51368",1971,84
"51369",2004,82
"51370",1955,117
"51371",1977,78
"51372",1976,85
"51373",1939,93
"51374",1982,103
"51375",1985,90
"51376",2000,10
"51377",1950,71
"51378",1951,66
"51379",1938,92
"51380",1941,93
"51381",2002,78
"51382",2002,96
"51383",1966,96
"51384",1951,77
"51385",1974,75
"51386",1986,111
"51387",2003,98
"51388",1932,63
"51389",1978,92
"51390",1999,98
"51391",1955,86
"51392",1981,91
"51393",1944,58
"51394",1994,96
"51395",2002,5
"51396",2001,86
"51397",1940,68
"51398",1936,98
"51399",1951,74
"51400",1984,29
"51401",1935,58
"51402",1950,7
"51403",1937,58
"51404",1948,76
"51405",1966,90
"51406",2003,40
"51407",1990,123
"51408",2004,6
"51409",1966,81
"51410",1974,71
"51411",2004,92
"51412",1988,173
"51413",1973,69
"51414",1999,100
"51415",1964,93
"51416",2002,100
"51417",1999,163
"51418",1994,89
"51419",1967,94
"51420",1986,147
"51421",1972,86
"51422",1980,95
"51423",1976,88
"51424",1982,86
"51425",1962,5
"51426",1998,5
"51427",1981,143
"51428",1997,91
"51429",1992,59
"51430",1978,89
"51431",1971,8
"51432",1991,83
"51433",2001,104
"51434",1936,57
"51435",1937,69
"51436",1943,124
"51437",1935,87
"51438",1938,70
"51439",2002,12
"51440",2004,12
"51441",1991,3
"51442",1969,84
"51443",1971,115
"51444",2001,35
"51445",1988,30
"51446",1938,95
"51447",1956,103
"51448",1928,69
"51449",1937,93
"51450",1982,110
"51451",1910,17
"51452",1969,113
"51453",2004,12
"51454",1997,89
"51455",1965,116
"51456",1994,105
"51457",1907,6
"51458",1949,105
"51459",1965,93
"51460",1940,62
"51461",1936,104
"51462",1933,20
"51463",1947,83
"51464",1941,128
"51465",1940,9
"51466",1959,92
"51467",1955,95
"51468",1970,93
"51469",1976,76
"51470",1948,89
"51471",1994,56
"51472",1975,89
"51473",1973,102
"51474",1937,58
"51475",1999,14
"51476",1949,96
"51477",1992,89
"51478",1941,91
"51479",1957,88
"51480",1997,105
"51481",1966,98
"51482",1980,93
"51483",1998,4
"51484",1979,94
"51485",1969,88
"51486",1966,84
"51487",2002,16
"51488",1996,108
"51489",2000,20
"51490",1962,99
"51491",1941,84
"51492",1985,102
"51493",1957,85
"51494",1948,82
"51495",1973,91
"51496",1989,82
"51497",1989,5
"51498",1990,60
"51499",1977,95
"51500",1996,99
"51501",1985,105
"51502",1974,134
"51503",1994,113
"51504",1976,133
"51505",1986,102
"51506",1932,71
"51507",1951,104
"51508",1982,79
"51509",2001,56
"51510",1947,60
"51511",1955,6
"51512",1953,7
"51513",1929,20
"51514",1939,94
"51515",1943,10
"51516",1972,79
"51517",1933,11
"51518",1945,87
"51519",1975,100
"51520",1904,3
"51521",2000,14
"51522",1989,85
"51523",1981,91
"51524",1973,104
"51525",1966,91
"51526",1957,72
"51527",1970,93
"51528",1932,21
"51529",1931,55
"51530",1929,65
"51531",1928,22
"51532",2002,95
"51533",1991,129
"51534",1989,90
"51535",1934,20
"51536",1954,94
"51537",2001,84
"51538",1940,4
"51539",1973,110
"51540",1989,104
"51541",1980,106
"51542",1973,84
"51543",1936,94
"51544",1925,5
"51545",1995,92
"51546",1962,98
"51547",1991,18
"51548",1998,101
"51549",2003,85
"51550",2003,3
"51551",1953,7
"51552",1994,110
"51553",1937,74
"51554",1938,84
"51555",1932,79
"51556",1980,88
"51557",1992,88
"51558",1928,19
"51559",1956,6
"51560",1960,107
"51561",1970,126
"51562",1981,92
"51563",1993,32
"51564",1956,84
"51565",1971,91
"51566",1957,60
"51567",1938,81
"51568",1948,7
"51569",1941,80
"51570",1954,117
"51571",1998,92
"51572",1991,91
"51573",1942,60
"51574",2000,98
"51575",1998,134
"51576",1934,7
"51577",1943,81
"51578",1970,95
"51579",1994,83
"51580",1968,118
"51581",1944,23
"51582",1992,5
"51583",1939,79
"51584",1992,45
"51585",1959,96
"51586",1936,93
"51587",1956,91
"51588",1980,84
"51589",1992,145
"51590",2002,89
"51591",1939,70
"51592",1942,85
"51593",1981,115
"51594",2003,100
"51595",1932,69
"51596",1982,86
"51597",1970,108
"51598",1989,81
"51599",1967,85
"51600",2001,7
"51601",1959,123
"51602",1955,75
"51603",1998,95
"51604",2001,93
"51605",1941,75
"51606",1941,140
"51607",1985,70
"51608",1938,84
"51609",1940,95
"51610",1979,73
"51611",1942,108
"51612",1937,94
"51613",1929,20
"51614",1943,95
"51615",1929,83
"51616",1940,96
"51617",1930,95
"51618",1988,93
"51619",1949,95
"51620",1939,69
"51621",1939,92
"51622",1947,78
"51623",1946,64
"51624",1941,69
"51625",1941,77
"51626",1941,92
"51627",1936,70
"51628",1943,95
"51629",1971,98
"51630",1972,97
"51631",1942,73
"51632",1968,92
"51633",1954,84
"51634",1939,105
"51635",1969,120
"51636",2000,87
"51637",1987,91
"51638",1943,18
"51639",1979,95
"51640",1945,135
"51641",1950,102
"51642",1945,115
"51643",1953,107
"51644",1947,80
"51645",1937,95
"51646",1938,22
"51647",1948,7
"51648",1984,96
"51649",1966,112
"51650",1986,90
"51651",1975,230
"51652",1991,101
"51653",1998,93
"51654",1935,20
"51655",1999,91
"51656",2002,90
"51657",1981,117
"51658",1998,84
"51659",1973,104
"51660",1972,69
"51661",1924,139
"51662",1940,106
"51663",1952,78
"51664",1984,100
"51665",1952,85
"51666",2004,31
"51667",1977,92
"51668",1941,72
"51669",1974,123
"51670",1990,100
"51671",1949,94
"51672",1908,5
"51673",1961,5
"51674",1969,91
"51675",1988,103
"51676",1937,79
"51677",1995,78
"51678",1996,108
"51679",1945,100
"51680",1934,93
"51681",1998,106
"51682",1964,99
"51683",1998,170
"51684",2004,96
"51685",1993,116
"51686",1951,85
"51687",1958,69
"51688",1972,93
"51689",1982,109
"51690",1989,83
"51691",1935,77
"51692",1982,90
"51693",2001,120
"51694",1988,100
"51695",1947,79
"51696",2000,109
"51697",1936,100
"51698",1995,115
"51699",1969,6
"51700",1990,86
"51701",1937,67
"51702",1967,30
"51703",1996,92
"51704",2004,10
"51705",2001,87
"51706",1983,107
"51707",1965,119
"51708",1941,7
"51709",1940,96
"51710",1959,105
"51711",1949,93
"51712",1999,119
"51713",2003,108
"51714",1954,63
"51715",2001,8
"51716",1964,103
"51717",2002,84
"51718",1930,85
"51719",1978,84
"51720",1999,98
"51721",1979,93
"51722",1974,88
"51723",1997,87
"51724",2003,100
"51725",2001,104
"51726",2000,145
"51727",1936,77
"51728",1932,59
"51729",1929,72
"51730",1999,100
"51731",1932,69
"51732",1934,74
"51733",1944,138
"51734",1993,98
"51735",1978,102
"51736",1993,140
"51737",1942,110
"51738",1958,100
"51739",1993,115
"51740",2003,75
"51741",1957,104
"51742",1933,86
"51743",2005,88
"51744",1959,124
"51745",2001,111
"51746",2003,104
"51747",1942,80
"51748",2000,12
"51749",1944,114
"51750",1958,92
"51751",1977,102
"51752",1952,116
"51753",1981,144
"51754",1999,18
"51755",1971,10
"51756",2003,8
"51757",1951,50
"51758",1937,100
"51759",1992,105
"51760",1954,91
"51761",1963,94
"51762",2003,88
"51763",2002,94
"51764",2002,81
"51765",2000,80
"51766",1984,82
"51767",1943,11
"51768",2000,72
"51769",1973,90
"51770",1955,7
"51771",1943,121
"51772",1999,85
"51773",1932,80
"51774",1955,87
"51775",2004,2
"51776",1943,103
"51777",1945,90
"51778",1934,76
"51779",1938,63
"51780",1939,86
"51781",1945,100
"51782",2000,6
"51783",1931,68
"51784",2004,86
"51785",1966,110
"51786",1960,90
"51787",1950,74
"51788",2003,90
"51789",2000,98
"51790",1963,134
"51791",1971,98
"51792",1941,98
"51793",2003,100
"51794",1942,73
"51795",1947,105
"51796",1992,10
"51797",1985,11
"51798",1942,77
"51799",1952,100
"51800",1993,85
"51801",1954,9
"51802",1997,100
"51803",1999,108
"51804",1959,89
"51805",1990,160
"51806",1980,150
"51807",1968,102
"51808",1999,113
"51809",2001,96
"51810",2000,85
"51811",2000,97
"51812",1964,92
"51813",1974,95
"51814",1983,91
"51815",1974,93
"51816",1937,80
"51817",1967,138
"51818",1982,88
"51819",1949,10
"51820",1909,2
"51821",1934,7
"51822",1965,131
"51823",1987,88
"51824",1945,83
"51825",1941,11
"51826",1980,105
"51827",1914,16
"51828",1965,138
"51829",1953,90
"51830",1932,72
"51831",1933,80
"51832",1992,6
"51833",1940,74
"51834",2002,40
"51835",1969,94
"51836",2003,89
"51837",1997,105
"51838",1965,118
"51839",1991,105
"51840",1969,93
"51841",1968,70
"51842",1982,86
"51843",1945,93
"51844",1943,125
"51845",1986,93
"51846",2000,10
"51847",1976,10
"51848",1949,66
"51849",1923,55
"51850",1906,1
"51851",1951,16
"51852",2004,95
"51853",1935,8
"51854",1998,87
"51855",1987,92
"51856",1967,105
"51857",1938,75
"51858",2003,93
"51859",1936,9
"51860",1956,88
"51861",1944,3
"51862",1970,89
"51863",1998,82
"51864",1944,70
"51865",1950,106
"51866",1960,70
"51867",1978,93
"51868",2002,9
"51869",1955,99
"51870",1940,99
"51871",1954,102
"51872",1938,100
"51873",1948,115
"51874",1952,17
"51875",1986,108
"51876",1997,90
"51877",1975,117
"51878",1951,71
"51879",2005,119
"51880",1940,79
"51881",1957,91
"51882",1989,92
"51883",1941,75
"51884",1931,80
"51885",1936,81
"51886",1968,99
"51887",1951,90
"51888",1950,15
"51889",1965,99
"51890",1943,83
"51891",1954,77
"51892",1969,92
"51893",1987,87
"51894",1999,114
"51895",1935,17
"51896",1957,7
"51897",1946,100
"51898",1933,8
"51899",1934,20
"51900",1946,18
"51901",1953,7
"51902",1943,15
"51903",1936,9
"51904",1950,102
"51905",1922,60
"51906",1936,61
"51907",1964,97
"51908",1946,17
"51909",2003,76
"51910",1938,70
"51911",1987,102
"51912",1940,76
"51913",1944,85
"51914",1956,84
"51915",1936,86
"51916",1938,18
"51917",1916,63
"51918",1921,119
"51919",1935,96
"51920",1939,72
"51921",1948,125
"51922",1973,105
"51923",1993,105
"51924",1922,58
"51925",1987,101
"51926",1935,9
"51927",1945,15
"51928",1953,95
"51929",1939,18
"51930",1999,104
"51931",1950,98
"51932",1993,90
"51933",1970,165
"51934",2001,22
"51935",1937,11
"51936",1936,84
"51937",1939,90
"51938",1942,16
"51939",1941,65
"51940",1951,85
"51941",1962,90
"51942",1946,92
"51943",1955,93
"51944",1939,56
"51945",1946,17
"51946",1957,100
"51947",1978,100
"51948",1948,82
"51949",1931,64
"51950",1946,90
"51951",1932,68
"51952",1995,115
"51953",2002,85
"51954",1986,8
"51955",1974,90
"51956",1952,74
"51957",1948,7
"51958",1987,88
"51959",1968,90
"51960",1993,102
"51961",2004,95
"51962",2003,3
"51963",1926,23
"51964",1944,60
"51965",1966,109
"51966",1932,63
"51967",1972,80
"51968",1936,67
"51969",1974,89
"51970",1999,98
"51971",1933,77
"51972",1980,78
"51973",2004,118
"51974",1994,93
"51975",1981,97
"51976",1998,8
"51977",1975,93
"51978",1941,4
"51979",2000,80
"51980",1964,69
"51981",1997,38
"51982",1986,85
"51983",1935,18
"51984",1963,108
"51985",1945,105
"51986",1979,45
"51987",2002,7
"51988",1974,79
"51989",1965,117
"51990",1986,96
"51991",1999,79
"51992",2004,13
"51993",2000,30
"51994",1976,91
"51995",1987,87
"51996",1995,90
"51997",1903,1
"51998",1936,10
"51999",1987,6
"52000",1985,8
"52001",1999,70
"52002",1998,83
"52003",1939,8
"52004",1952,7
"52005",1972,94
"52006",1991,50
"52007",1994,86
"52008",2005,95
"52009",2002,26
"52010",1983,86
"52011",1939,95
"52012",1967,90
"52013",1953,103
"52014",1932,67
"52015",1942,78
"52016",1985,90
"52017",1988,90
"52018",1964,73
"52019",1963,65
"52020",1947,60
"52021",1991,90
"52022",1956,70
"52023",1933,70
"52024",1953,82
"52025",1954,76
"52026",1958,92
"52027",1943,112
"52028",1986,90
"52029",1946,57
"52030",1937,58
"52031",1977,95
"52032",1960,92
"52033",2003,50
"52034",1937,87
"52035",1952,97
"52036",1948,61
"52037",1959,81
"52038",1947,103
"52039",1961,97
"52040",1951,84
"52041",1965,130
"52042",2001,18
"52043",1968,89
"52044",1952,98
"52045",2004,95
"52046",1966,93
"52047",1929,85
"52048",1947,44
"52049",1974,114
"52050",1977,158
"52051",1945,78
"52052",1992,119
"52053",2000,100
"52054",1933,62
"52055",1942,61
"52056",1958,73
"52057",2004,18
"52058",2002,87
"52059",1998,75
"52060",2004,98
"52061",2000,90
"52062",1995,116
"52063",1998,87
"52064",1998,18
"52065",1943,81
"52066",1954,21
"52067",2001,92
"52068",1946,186
"52069",1959,80
"52070",1972,98
"52071",1971,85
"52072",1994,96
"52073",1994,84
"52074",1990,102
"52075",1976,84
"52076",1977,124
"52077",1954,58
"52078",2003,115
"52079",1999,93
"52080",1996,116
"52081",1992,87
"52082",2002,93
"52083",1987,93
"52084",1989,90
"52085",1973,104
"52086",2004,100
"52087",1999,102
"52088",1996,101
"52089",2000,106
"52090",1998,99
"52091",1994,140
"52092",1994,99
"52093",1933,116
"52094",2002,25
"52095",1962,100
"52096",2003,104
"52097",1963,100
"52098",1996,81
"52099",1999,91
"52100",1998,98
"52101",2000,93
"52102",1944,7
"52103",2001,92
"52104",1986,100
"52105",1981,108
"52106",2002,85
"52107",1950,90
"52108",1994,27
"52109",2003,85
"52110",1965,90
"52111",1996,90
"52112",1968,6
"52113",1963,88
"52114",1999,10
"52115",1999,12
"52116",1929,73
"52117",1990,91
"52118",1995,99
"52119",2003,240
"52120",2003,176
"52121",2003,135
"52122",1977,91
"52123",1980,113
"52124",1973,89
"52125",1995,80
"52126",1994,90
"52127",1997,102
"52128",1966,90
"52129",1985,98
"52130",1981,112
"52131",1986,111
"52132",2003,87
"52133",2002,90
"52134",1976,86
"52135",1995,120
"52136",1993,91
"52137",1996,125
"52138",1962,83
"52139",2000,108
"52140",1971,80
"52141",1984,55
"52142",1996,140
"52143",1997,40
"52144",1973,90
"52145",1983,93
"52146",1978,103
"52147",1959,105
"52148",1992,92
"52149",1999,95
"52150",1943,59
"52151",1996,90
"52152",1967,94
"52153",1932,77
"52154",1998,82
"52155",1945,7
"52156",1964,91
"52157",1988,93
"52158",1944,196
"52159",1968,99
"52160",1956,94
"52161",1938,94
"52162",1959,95
"52163",1988,97
"52164",1992,83
"52165",2000,100
"52166",1987,98
"52167",1998,118
"52168",2000,77
"52169",1955,97
"52170",1984,115
"52171",1998,5
"52172",1990,80
"52173",1964,90
"52174",2002,128
"52175",1963,90
"52176",1916,80
"52177",1967,105
"52178",1994,75
"52179",1977,85
"52180",1979,77
"52181",1918,418
"52182",1957,107
"52183",1993,77
"52184",1964,88
"52185",1990,80
"52186",1990,81
"52187",1987,91
"52188",1987,70
"52189",1978,80
"52190",1969,96
"52191",2003,85
"52192",2002,101
"52193",1990,90
"52194",2003,109
"52195",1936,72
"52196",1944,88
"52197",1946,132
"52198",1946,105
"52199",1994,90
"52200",1988,99
"52201",1933,58
"52202",1914,82
"52203",2000,106
"52204",1979,111
"52205",1979,109
"52206",2003,5
"52207",1941,8
"52208",1939,59
"52209",1975,98
"52210",1955,94
"52211",1959,91
"52212",1979,112
"52213",1981,110
"52214",1953,72
"52215",2002,95
"52216",1992,29
"52217",1944,88
"52218",1952,79
"52219",1987,87
"52220",1940,55
"52221",1957,96
"52222",1957,73
"52223",1997,23
"52224",1960,89
"52225",2002,96
"52226",1988,83
"52227",2004,19
"52228",1941,75
"52229",1947,88
"52230",1954,20
"52231",1965,9
"52232",1993,90
"52233",1999,94
"52234",2000,87
"52235",1956,79
"52236",1997,101
"52237",1989,86
"52238",1964,82
"52239",1996,88
"52240",1982,83
"52241",2004,94
"52242",1957,85
"52243",1999,96
"52244",1967,88
"52245",1971,104
"52246",1988,118
"52247",2002,88
"52248",1946,82
"52249",1948,105
"52250",2002,87
"52251",1982,91
"52252",1991,93
"52253",1943,61
"52254",1996,149
"52255",1958,132
"52256",1987,77
"52257",1973,97
"52258",1997,91
"52259",1968,91
"52260",2000,26
"52261",2001,94
"52262",1946,105
"52263",1991,96
"52264",2000,97
"52265",1994,98
"52266",2003,82
"52267",2004,10
"52268",1996,90
"52269",2000,95
"52270",1997,89
"52271",2003,116
"52272",1996,90
"52273",1995,100
"52274",2002,92
"52275",1982,94
"52276",1980,111
"52277",1935,68
"52278",1936,62
"52279",1984,90
"52280",2000,6
"52281",1956,76
"52282",1984,110
"52283",1957,7
"52284",1940,6
"52285",2001,8
"52286",2002,10
"52287",1996,80
"52288",1997,56
"52289",1996,135
"52290",1983,89
"52291",1987,110
"52292",1940,94
"52293",1957,93
"52294",1988,5
"52295",1977,88
"52296",1999,109
"52297",1995,93
"52298",1964,137
"52299",1959,82
"52300",1964,97
"52301",1985,28
"52302",1994,31
"52303",1986,25
"52304",1991,94
"52305",1997,88
"52306",1998,75
"52307",2000,121
"52308",1972,81
"52309",1969,77
"52310",1964,102
"52311",2003,75
"52312",1977,85
"52313",1997,76
"52314",2003,22
"52315",1948,54
"52316",2004,150
"52317",1932,19
"52318",1957,98
"52319",1931,71
"52320",1992,90
"52321",1973,89
"52322",1999,31
"52323",2003,90
"52324",1999,128
"52325",1992,168
"52326",1994,92
"52327",1993,91
"52328",1928,120
"52329",1960,87
"52330",1907,7
"52331",1965,6
"52332",1992,90
"52333",2003,116
"52334",1960,92
"52335",1994,30
"52336",1963,96
"52337",1998,17
"52338",1942,84
"52339",2002,82
"52340",1991,86
"52341",1962,91
"52342",1987,113
"52343",1953,104
"52344",1935,19
"52345",2000,94
"52346",1943,85
"52347",1953,98
"52348",1997,194
"52349",1998,100
"52350",1964,92
"52351",1997,105
"52352",2001,90
"52353",1995,40
"52354",1973,159
"52355",1953,84
"52356",1967,84
"52357",2002,115
"52358",1979,88
"52359",2000,6
"52360",2004,120
"52361",1992,118
"52362",2001,71
"52363",1997,11
"52364",1999,162
"52365",1999,147
"52366",2000,167
"52367",1957,109
"52368",1988,150
"52369",1966,95
"52370",1962,105
"52371",1989,6
"52372",1980,90
"52373",1990,10
"52374",1964,18
"52375",2000,5
"52376",1942,99
"52377",1983,107
"52378",1993,99
"52379",1935,70
"52380",1963,7
"52381",1999,2
"52382",1971,94
"52383",1955,106
"52384",1957,6
"52385",1989,94
"52386",1994,101
"52387",1995,110
"52388",1990,87
"52389",1994,86
"52390",1954,79
"52391",1943,7
"52392",1946,122
"52393",2001,110
"52394",1972,90
"52395",1976,27
"52396",1996,93
"52397",1956,7
"52398",1944,100
"52399",1996,99
"52400",2000,13
"52401",1955,106
"52402",1998,98
"52403",1958,6
"52404",1972,104
"52405",1994,11
"52406",2003,102
"52407",1962,129
"52408",1988,117
"52409",2003,88
"52410",1985,116
"52411",1987,88
"52412",1955,78
"52413",1963,16
"52414",1950,91
"52415",1992,92
"52416",2001,91
"52417",1992,88
"52418",1977,90
"52419",1967,105
"52420",1990,101
"52421",1993,81
"52422",1999,14
"52423",1970,11
"52424",1936,9
"52425",1964,92
"52426",1999,108
"52427",1995,109
"52428",1980,90
"52429",2000,100
"52430",2001,22
"52431",1994,105
"52432",2000,94
"52433",1977,96
"52434",1993,90
"52435",1976,95
"52436",1948,109
"52437",1933,70
"52438",1989,35
"52439",1995,98
"52440",1948,43
"52441",1966,82
"52442",1942,86
"52443",1948,100
"52444",1996,90
"52445",1950,97
"52446",1937,109
"52447",1941,84
"52448",1954,77
"52449",1967,107
"52450",1992,90
"52451",1986,96
"52452",1936,7
"52453",1960,96
"52454",1962,101
"52455",1993,88
"52456",1959,14
"52457",1997,105
"52458",1972,84
"52459",1972,104
"52460",1987,132
"52461",1973,113
"52462",1968,91
"52463",1941,105
"52464",1967,86
"52465",1998,82
"52466",2002,96
"52467",2004,16
"52468",1933,113
"52469",2002,25
"52470",2000,13
"52471",1971,93
"52472",2003,18
"52473",1963,82
"52474",1989,80
"52475",1964,90
"52476",1998,11
"52477",1994,99
"52478",1976,120
"52479",1991,88
"52480",1999,101
"52481",1981,87
"52482",2001,28
"52483",1994,102
"52484",1993,88
"52485",1998,98
"52486",1976,80
"52487",1967,99
"52488",1956,52
"52489",1971,72
"52490",1998,84
"52491",1944,93
"52492",1991,87
"52493",1974,94
"52494",1972,84
"52495",1958,92
"52496",2001,13
"52497",1996,75
"52498",1959,76
"52499",1994,103
"52500",2003,14
"52501",1983,104
"52502",1984,105
"52503",1943,7
"52504",1996,110
"52505",1969,90
"52506",1976,80
"52507",1968,85
"52508",2003,70
"52509",2001,6
"52510",1994,94
"52511",1998,97
"52512",1951,84
"52513",1995,87
"52514",2000,57
"52515",2003,93
"52516",1949,88
"52517",1996,85
"52518",2002,80
"52519",1946,69
"52520",1996,92
"52521",2001,77
"52522",1997,121
"52523",1957,140
"52524",2000,88
"52525",1953,136
"52526",1933,47
"52527",1935,80
"52528",1965,93
"52529",1983,277
"52530",1970,94
"52531",1997,85
"52532",1985,92
"52533",2002,127
"52534",1921,99
"52535",1990,97
"52536",2003,10
"52537",1920,73
"52538",1922,53
"52539",1994,108
"52540",1957,95
"52541",2000,80
"52542",1957,81
"52543",1971,93
"52544",1961,72
"52545",2002,75
"52546",2002,110
"52547",1994,115
"52548",1932,82
"52549",1940,86
"52550",1951,93
"52551",2001,17
"52552",1941,87
"52553",2003,90
"52554",2003,10
"52555",1980,98
"52556",1963,128
"52557",1999,90
"52558",1917,44
"52559",1930,86
"52560",1999,3
"52561",1940,8
"52562",1953,7
"52563",1944,7
"52564",1940,7
"52565",2004,106
"52566",1995,97
"52567",1962,7
"52568",1950,7
"52569",1992,84
"52570",1995,87
"52571",1990,97
"52572",1999,92
"52573",1957,6
"52574",2004,91
"52575",1905,8
"52576",1969,86
"52577",1965,7
"52578",2000,110
"52579",1951,82
"52580",1957,60
"52581",1965,81
"52582",1986,84
"52583",2002,15
"52584",1992,120
"52585",1985,91
"52586",1993,130
"52587",1932,62
"52588",1942,79
"52589",1993,85
"52590",2001,95
"52591",1954,70
"52592",2001,57
"52593",1999,95
"52594",2001,101
"52595",2000,95
"52596",1975,111
"52597",1995,97
"52598",1957,70
"52599",1988,105
"52600",1959,90
"52601",2003,20
"52602",1972,103
"52603",1988,105
"52604",1951,90
"52605",1946,105
"52606",2002,108
"52607",2001,90
"52608",1978,102
"52609",1997,119
"52610",1998,87
"52611",1942,64
"52612",1933,62
"52613",1964,80
"52614",1999,89
"52615",1934,70
"52616",1954,11
"52617",2004,27
"52618",1944,86
"52619",2002,30
"52620",1941,12
"52621",1988,86
"52622",1983,8
"52623",1919,50
"52624",1989,88
"52625",1986,87
"52626",1985,138
"52627",2002,83
"52628",1990,55
"52629",2000,7
"52630",1999,90
"52631",1933,75
"52632",1943,70
"52633",1953,109
"52634",1945,92
"52635",1962,69
"52636",1931,80
"52637",2002,10
"52638",1967,70
"52639",1958,97
"52640",1997,113
"52641",1930,85
"52642",1965,91
"52643",1962,86
"52644",1970,105
"52645",1934,61
"52646",1963,105
"52647",1973,90
"52648",2000,70
"52649",1967,110
"52650",2004,75
"52651",1985,8
"52652",1988,75
"52653",1956,7
"52654",1938,107
"52655",1960,90
"52656",1977,85
"52657",1961,103
"52658",1949,99
"52659",1970,145
"52660",1931,77
"52661",1959,85
"52662",1940,85
"52663",1940,84
"52664",1936,73
"52665",1966,100
"52666",1947,61
"52667",2000,109
"52668",1933,76
"52669",1983,8
"52670",2000,84
"52671",1991,110
"52672",1968,72
"52673",1958,121
"52674",1985,75
"52675",1987,105
"52676",1985,100
"52677",1960,85
"52678",1998,97
"52679",1943,7
"52680",1921,80
"52681",1951,89
"52682",1979,95
"52683",2003,95
"52684",1978,93
"52685",1970,95
"52686",1936,7
"52687",1953,10
"52688",2004,91
"52689",2001,5
"52690",2004,5
"52691",1951,16
"52692",2002,5
"52693",1982,119
"52694",1954,100
"52695",1987,92
"52696",1995,86
"52697",1935,18
"52698",1955,73
"52699",1986,110
"52700",1935,101
"52701",1990,83
"52702",1943,74
"52703",1988,85
"52704",1952,93
"52705",1957,100
"52706",1984,90
"52707",1969,86
"52708",1930,73
"52709",1949,100
"52710",1989,110
"52711",1999,99
"52712",1953,72
"52713",1972,83
"52714",1937,86
"52715",1993,109
"52716",2002,83
"52717",1969,143
"52718",1933,78
"52719",1935,103
"52720",1951,136
"52721",1945,55
"52722",1988,127
"52723",1964,119
"52724",1997,87
"52725",1978,97
"52726",1987,90
"52727",1998,8
"52728",1970,125
"52729",1937,97
"52730",1941,87
"52731",1939,85
"52732",1999,80
"52733",1945,6
"52734",1999,160
"52735",1945,60
"52736",1970,144
"52737",1963,88
"52738",2004,100
"52739",1933,71
"52740",1953,90
"52741",1988,114
"52742",1950,83
"52743",1984,90
"52744",1939,58
"52745",1938,59
"52746",1938,63
"52747",1939,59
"52748",1939,60
"52749",1956,75
"52750",2000,85
"52751",1998,75
"52752",1972,105
"52753",1978,82
"52754",1986,85
"52755",1960,75
"52756",1974,89
